geography,week_start_date,old_total_cases,new_total_cases,change_type,observed_at_utc,source_file_id,source_publication_date
pr,2020-10-12,,36,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2020-10-19,,36,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2020-10-26,,31,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2020-11-02,,42,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2020-11-09,,39,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2020-11-16,,32,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2020-11-23,,29,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2020-11-30,,32,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2020-12-07,,29,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2020-12-14,,36,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2020-12-21,,35,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2020-12-28,,29,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2021-01-04,,32,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2021-01-11,,23,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2021-01-18,,27,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2021-01-25,,25,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2021-02-01,,23,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2021-02-08,,23,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2021-02-15,,17,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2021-02-22,,16,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2021-03-01,,30,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2021-03-08,,19,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2021-03-15,,9,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2021-03-22,,6,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2021-03-29,,10,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2021-04-05,,6,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2021-04-12,,5,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2021-04-19,,8,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2021-04-26,,9,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2021-05-03,,4,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2021-05-10,,10,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2021-05-17,,13,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2021-05-24,,12,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2021-05-31,,13,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2021-06-07,,7,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2021-06-14,,7,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2021-06-21,,5,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2021-06-28,,13,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
